Table 1 ref. https://doi.org/10.1016/j.jct.2011.03.011
No.	Substance	Parameters equation (1)						AAD equation (4),(5),(6),(7), %	AAD Reid, %	Experimental Tr range	R
No.	Substance	Tc/K	Pc/kPa	A	B	C	D	AAD equation (4),(5),(6),(7), %	AAD Reid, %	Experimental Tr range	R
51	Hydrogen	33.15	1296.4	-4.8799	0.99311	0.83986	-0.07004	0.026		0.43-1	a, a
52	Oxygen	154.58	5043	-6.06786	1.28743	-0.70862	-1.50937	0.021		0.36-1	a, a
53	Fluor	144.3	5215	-6.26542	1.51391	-1.22239	-1.33294	0.01		0.37-1	a, a
54	Carbonmonoxide	132.85	3494	-6.1558	1.20948	-0.79179	-2.23427	0.013		0.51-0.99	a, c
55	Carbondioxide	304.12	7374	-7.00954	1.46423	-2.09001	-3.69697	0.005		0.72-1	a, c
56	Dinitrogen monoxide	309.6	7255	-6.79917	1.62101	-1.90738	-2.11248	0.015		0.59-1	a, c
57	Methanol	512.5	8084	-8.68804	1.33387	-2.69433	-0.70944	0.053	0.195	0.5-1	a, f
58	Helium-4	5.19	227	-4.28085	1.57184	0.54247	0.60151	0.109		0.42-0.98	a, c
59	Neon	44.49	2678.6	-5.72163	1.01659	0.06257	-1.41834	0.041		0.55-1	a, a
60	Argon	150.69	4863	-5.93682	1.24912	-0.5883	-1.42317	0.007		0.56-1	a, c
61	Krypton	209.48	5525	-5.98122	1.33414	-0.64628	-1.36126	0.005		0.55-1	a, a
62	Xenon	289.73	5842	-5.98974	1.31079	-0.65752	-1.51315	0.011		0.56-1	a, a
63	Ammonia	405.4	11333	-7.28305	1.59166	-1.95126	-2.05623	0.024	0.199	0.48-1	a, a
64	Propan-2-one	508.1	4702	-7.53171	1.52858	-1.84495	-3.46267	0.079	0.075	0.51-1	g, h
65	Propan-2-ol	508.3	4764	-8.75176	2.18666	-8.65387	4.0693	0.049	0.167	0.54-0.98	i, f
66	Aniline	699	5310	-7.6344	1.18945	-2.40683	-4.07867	0.203		0.48-0.98	j, c
67	Phenol	694.25	6130	-9.69216	5.53306	-6.41383	-4.55372	0.084		0.46-0.99	k, c
68	Dimethylether	400.2	5340	-7.13949	1.9778	-2.25478	-1.57178	0.076		0.54-0.98	l, c
69	Ethanol	514	6137	-8.9766637	2.1931654	-6.6376281	5.0850836	0.095	0.314	0.49-1	e, c
