sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
34|C,C1,F4|1,1-dichloro-l, 2,2,2-|374-07-2|2|3.83243|875.9380|225.460|418.70|10|2.12840|699.960|-66758|2.17|298.15|31.95|418.15
35|c,ci,f4|1.2-dichloro-l. 1.2.2-|76-14-2|1|3.93549|930.7340|233.410||||||0.02|204.93|2|295.83
35|c,ci,f4|1.2-dichloro-l. 1.2.2-|76-14-2|2|3.93549|930.7340|233.410|418.90|12|4.45933|849.560|-57942|2.16|298.15|32.02|418.15
36|C,C1,F,|1.1,2-trichloro-1,2.2-trifluoroethane|76-13-1|1|4.00134|1107.71|229.640||||||0.02|237.83|2|342.87
36|C,C1,F,|1.1,2-trichloro-1,2.2-trifluoroethane|76-13-1|2|4.00134|1107.719|229.640|487.40|55|2.89655|69.650|-2236.1|2.02|343.15|31.79|483.15
38|C,F„|hexafluoroethane|76-16-4|1|3.68388|572.7330|233.650||||||0.30|175.65|2|208.80
38|C,F„|hexafluoroethane|76-16-4|2|3.68388|572.7330|233.650|293.04|-73|1.89050|156.827|-7370.8|2.44|213.15|21.02|278.15
39|C.HBrCIF,|1 -bromo-1 -ehloro-2.2.2-|151-67-7|1|4.20682|1 199.262|235.290||||||0.02|240.92|2|344.91
40|C.HBrCIF,|1 -bromo-2-chloro-1.1.2-|354-06-3|1|3.48366|841.1410|189.300||||||0.02|246.15|2|348.14
41|C.HC1E,|1 -ehloro-1.1,2,2-tetrafluoroethane|354-25-6|1|4.25710|1006.840|248.600||||||0.02|193.60|2|279.06
41|C.HC1E,|1 -ehloro-1.1,2,2-tetrafluoroethane|354-25-6|2|4.25710|1006.840|248.560|399.87|-10|2.77560|-538.004|30952.0|1.93|278.15|36.33|398.15
42|c,hcif4|1 -ehloro-1,2,2,2-tetrafluoroethane|2837-89-0|1|4.0536|900.49|234.389||||||0.14|222.00|2.59|286.00
42|c,hcif4|1 -ehloro-1,2,2,2-tetrafluoroethane|2837-89-0|2|3.98581|872.8360|231.260|395.85|-5|2.05345|4.517|-583.96|2.34|283.15|29.00|383.15
43|C.HCl.F,|1.1 -diehloro-2.2.2-trifluoroethane|306-83-2|1|4.21161|1132.447|241.590||||||0.02|223.16|2|321.15
