sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
159|c5h„,o2|3-methylbutanoic aeid|503-74-2|3|629.00|-8.67381|1.62939|-6.51756|-2.08757|34.00|||||34.00|629.00
160|c5h„,o2|methyl butanoate|623-42-7|1|4.10641|1271.060|207.210||||||0.02|284.90|2|399.96
160|c5h„,o2|methyl butanoate|623-42-7|2|4.10641|1271.060|207.210|554.45|120|2.46460|543.870|-34817.6|2.17|403.15|31.80|548.15
161|c5h„,o2|ethyl propanoate|105-37-3|1|4.14400|1274.700|209.000||||||0.02|282.40|2|395.85
163|c5h„,o2|propyl ethanoate (propyl acetate)|109-60-4|1|4.05548|1233.46|203.080||||||0.02|284.40|2|398.60
164|c5h„,o2|2-methylpropyl methanoate (isobutyl|542-55-2|1|3.98450|1 195.900|202.500||||||0.03|288.00|2|395.32
165|C,H„C1|1 -ehloropentane|543-59-9|1|3.93641|1271.160|215.000||||||0.02|283.72|2|407.81
166|C«H,,|pentane|109-66-0|1|3.97786|1064.840|232.014||||||0.02|228.71|2|330.75
166|C«H,,|pentane|109-66-0|3|469.80|-7.30698|1.75845|-2.1629|-2.9130|33.75|||||33.75|469.80
167|C,H,.|2-methylbutane|78-78-4|1|3.92023|1022.880|233.460||||||0.02|221.72|2|322.32
167|C,H,.|2-methylbutane|78-78-4|2|3.92023|1022.880|233.460|460.43|36|2.14912|-227.07|19674.0|1.766|318.15|15.77|413.15
168|C,H,.|2,2-dimethylpropane (neopentane)|463-82-1|1|3.83916|938.2340|235.249||||||0.40|259.33|2|303.08
168|C,H,.|2,2-dimethylpropane (neopentane)|463-82-1|2|3.83916|938.2340|235.249|433.78|17|2.42328|34.505|580.56|1.7142|298.15|16.28|393.15
169|C,H,,0|1-pentanol|71-41-0|1|4.39646|1336.010|166.320||||||0.02|326.01|2|433.05
169|C,H,,0|1-pentanol|71-41-0|3|588.15|-8.98005|3.91624|-9.9081|-2.1910|39.09|||||39.09|588.15
170|C,H,,0|2-pentanol|6032-29-7|1|4.42349|1291.212|173.130||||||0.008|298.12|0.735|383.34
171|C,H,,0|2-methyl-1 -butanol|137-32-6|1|4.48266|1360.367|173.220||||||0.004|298.12|0.711|393.70
172|C,H,,0|2-methyl-2-butanol|75-85-4|1|3.64420|863.4000|135.300||||||0.02|299.00|2|396.1 1
173|C,H,,0|3-methyl-1 -butanol|123-51-3|1|4.07851|1128.190|146.470||||||0.02|321.90|2|425.34
175|C,H,,0|ethyl propyl ether|628-32-0|1|3.83648|1052.470|210.880||||||0.02|252.40|2|359.96
176|C,H,,S|3-methyl-1 -butanethiol 1 isopentyl|541-31-1|1|4.03981|1342.509|214.446||||||0.02|292.60|2|417.78
177|C„C1F,|ehloropentafluorobenzene|344-07-0|3|570.81|-8.10119|1.95485|-2.79778|-4.1940|32.37|||||32.37|570.81
178|C„F„|hexafluoro benzene|392-56-3|3|516.73|-8.04104|1.93510|-2.9390|-4.5480|32.75|||||32.75|516.73
184|C„HF,|pentafluorobenzene|363-72-4|3|530.97|-7.86799|1.71659|-2.53582|-4.59937|35.37|||||35.37|530.97
185|c„h2f4|1,2,4,5-tetrafluorobenzene|327-54-8|3|543.35|-7.85347|1.94620|-2.8652|-3.80563|37.99|||||37.99|543.35
186|C„H,C1|chlorobenzene|108-90-7|1|4.02012|1378.790|211.700||||||0.02|302.50|2|432.18
186|C„H,C1|chlorobenzene|108-90-7|2|4.02012|1378.790|211.700|632.43|137|2.20300|18.280|674.77|1.82|428.15|44.07|630.15
187|C„H„|benzene|71-43-2|1|3.98523|1184.240|217.572||||||0.05|279.64|2|377.06
187|C„H„|benzene|71-43-2|3|562.16|-7.01433|1.55256|-1.8479|-3.7130|48.98|||||48.98|562.16
188|C„H„0|phenol|108-95-2|1|4.26960|1523.420|175.400||||||0.02|353.00|2|481.62
189|c„h7n|benzeneamine (aniline)|62-53-3|1|4.40870|1692.770|200.440||||||0.02|349.86|2|484.81
189|c„h7n|benzeneamine (aniline)|62-53-3|2|4.40870|1692.770|200.440|699.00|197|4.90600|452.800|-239100|2.2|488.15|40.30|673.15
190|c„h7n|2-methylpyridine (2-pieoline)|109-06-8|1|4.15550|1415.410|211.730||||||0.02|303.19|2|428.63
191|C(,H7N|3-methylpyridine (3-pieoline)|108-99-6|1|4.18930|1492.130|212.530||||||0.02|314.03|2|444.37
192|c„h7n|4-methylpyridine (4-pieoline)|108-89-4|1|4.16750|1481.571||||||210.650|0.02|315.05|2|445.68
194|C„H„,|Cyelohexene|110-83-8|3|560.40|-9.08102|5.75488|-5.17505|-1.0489|49.05|||0.06417|285.39|1.04|356.99
195|QH.,,0|cyclohexanone|108-94-1|3|653.00|-7.49380|1.63094|-2.12212|-3.91327|40.00|||||40.00|653.00
196|C„H„,0|4-methy 1-3-pen ten-2-one|141-79-7|3|605.00|-8.68118|3.99203|-4.81662|-1.73164|40|||0.02|303.67|1.985|428.56
197|C„H,,|cyclohexane|110-82-7|1|3.93002|1 182.774|220.618||||||0.06|282.11|2|378.46
197|C„H,,|cyclohexane|110-82-7|2|3.93002|1 182.770|220.618|553.50|25|3.40407|10.048|-126.96|1.9871|378.15|40.48|553.15
198|C„H,,|methyleyelopentane|96-37-7|1|4.18199|1295.543|238.390||||||0.02|255.06|2|368.58
198|C„H,,|methyleyelopentane|96-37-7|2|4.18199|1295.543|238.390|532.79|80|2.70504|-741.05|43373.0|2.26|373.15|37.50|532.79
199|C„H,,|1 -hexene|592-41-6|1|3.98260|1 148.620|225.340||||||0.02|249.98|2|359.80
199|C„H,,|1 -hexene|592-41-6|2|3.98260|1 148.620|225.340|504.03|72|2.45920|106.260|-3773.6|1.91|358.15|26.86|493.15
200|C„H,,|4-methy lpent-1 -ene|691-37-2|1|3.96019|1121.302|229.687||||||0.02|241.60|2|349.90
201|CJi.O|eyelohexanol|108-93-0|3|650.00|-7.12838|1.40189|-5.60756|-9.57158|42.60|||||42.60|650.00
202|C„H,,0|2-hexanone (methyl butyl ketone)|591-78-6|1|4.15330|1395.800|208.980||||||0.02|302.68|2|426.50
203|C.H,,0|3-hexanone (ethyl propyl ketone)|589-38-8|1|4.11658|1359.880|207.300||||||0.02|299.60|2|422.25
204|CJi.O|4-methyl-2-pentanone (methyl|108-10-1|1|3.82220|1190.6904|195.450||||||0.02|293.40|2|415.85
204|CJi.O|4-methyl-2-pentanone (methyl|108-10-1|3|574.60|-7.70040|1.69968|-2.80448|-3.81623|32.70|||||32.70|574.60
205|C„H,,0|butylvinylether|111-34-2|3|540.50|-8.04744|2.31158|-2.91499|-4.09565|32.00|||0.13332|311.89|2.7|403.37
206|C,.H,,0,|hexanoie aeid|142-62-1|3|662.00|-8.86570|1.95079|-7.80315|-2.85006|32.00|||||32.00|662.00
208|C,.H,,0,|ethyl butanoate|105-54-4|1|3.27456|921.5600|160.380||||||0.02|298.00|2|422.69
209|C.H,,0,|propyl propanoate|106-36-5|1|4.44890|1545.300|225.300||||||0.02|299.20|2|420.40
211|C„H,,0,|butyl ethanoate (butyl acetate)|123-86-4|1|4.50000|1596.700|229.300||||||0.02|301.00|2|424.11
212|C,.H,,0,|2-methylpropyl ethanoate (isobutyl|110-19-0|1|4.35460|1462.400|219.700||||||0.02|295.00|2|414.22
214|C„H,,0,|3-methylbutyl methanoate (isopentyl|110-45-2|1|4.24880|1439.400|215.100||||||0.02|300.00|2|422.66
215|c7.h,,o,|2-ethoxyethylaeetate|111-15-9|3|610.60|-9.64168|4.58179|-6.25993|-4.12066|31.80|||0.02|330.00|2.7|468.70
216|c„h14|hexane|110-54-3|1|4.00139|1 170.875|224.317||||||0.02|254.24|2|365.25
216|c„h14|hexane|110-54-3|3|507.90|-7.53998|1.83759|-2.5438|-3.1630|30.35|||||30.35|507.90
217|c„h14|2-methylpentane|107-83-5|1|3.98332|1145.800|227.815||||||0.02|246.90|2|356.50
217|c„h14|2-methylpentane|107-83-5|2|3.98332|1 145.800|227.820|497.50|69|2.27660|0.000|0.00|1.583|348.15|24.60|483.15
218|c„h14|3-methylpentane|96-14-0|1|3.99283|1 162.370|228.286||||||0.02|249.00|2|359.72
218|c„h14|3-methylpentane|96-14-0|2|3.99283|1 162.370|228.290|504.40|72|5.74154|690.900|-40238.|1.917|358.15|26.42|493.15
219|c„h14|2,2-dimethylbutane|75-83-2|1|3.89590|1090.160|230.517||||||0.02|237.40|2|345.89
219|c„h14|2,2-dimethylbutane|75-83-2|2|3.89590|1090.160|230.520|488.70|59|2.17300|0.000|0.00|1.611|338.15|24.71|473.15
220|c„h14|2.3-dimethylbutane|79-29-8|1|3.93486|1127.400|228.966||||||0.02|244.20|2|354.43
220|c„h14|2.3-dimethylbutane|79-29-8|2|3.93486|1127.400|228.970|499.90|67|2.51900|332.500|-24950.|1.682|348.15|24.69|483.15
221|C„H140|1-hexanol|111-27-3|1|4.18948|1295.590|152.510||||||0.02|340.80|2|453.83
221|C„H140|1-hexanol|111-27-3|3|610.70|-9.49034|5.13288|-10.5817|-5.1540|34.70|||||34.70|610.70
222|c„h14o|2-hexanol|626-93-7|1|4.93223|1696.190|204.430||||||0.02|324.50|2|434.97
223|c„h14o|3-hexanol|623-37-0|1|6.16250|2662.265|296.620||||||0.008|298.00|1|411.00
224|c„h14o|2-methyl-1 -pentanol|105-30-6|1|6.19790|2625.143|276.330||||||0.003|298.00|1|423.00
225|c„h14o|2-methyl-2-pentanol|590-36-3|1|3.27663|811.0500|126.600||||||0.02|309.50|2|419.12
227|c„h14o|4-methyl-1 -pentanol|626-89-1|1|4.17605|1273.350|153.560||||||0.02|336.40|2|448.19
228|c„h14o|4-methyl-2-pentanol|108-11-2|1|4.66180|1566.760|204.790||||||0.02|315.00|2|427.65
232|c7f,„|hexadeeylfluoroheptane|335-57-9|3|475.00|-9.18955|3.15138|-5.41934|-4.11174|16.5|||0.13335|303.68|2.7|389.70
233|c7h,f,|pentafluorotoluene|771-56-2|3|566.52|-8.08717|1.76131|-2.72838|-4.13797|31.24|||||31.24|566.52
234|C7Hh|toluene|108-88-3|1|4.05043|1327.62000|217.62500||||||0.02|286.44|2|409.61
234|C7Hh|toluene|108-88-3|3|591.80|-7.31600|1.59425|-1.93165|-3.72220|41.06|||||41.06|591.80
235|c7h„o|benzyl alcohol|100-51-6|3|715.00|-7.29099|1.17084|-4.7167|-5.5300|43.00|||||43.00|715.00
236|C7HhO|2-methylphenol (o-eresol)|95-48-7|1|4.18340|1534.540|176.300||||||0.02|357.80|2|492.11
236|C7HhO|2-methylphenol (o-eresol)|95-48-7|2|4.18340|1534.540|176.300|697.60|200|1.70720|463.530|-36925|2.05|493.15|50.00|697.57
237|C7HhO|3-methylphenol (m-cresol)|108-39-4|1|4.21530|1556.830|167.600||||||0.02|368.80|2|503.28
237|C7HhO|3-methylphenol (m-cresol)|108-39-4|2|4.21530|1556.830|167.600|705.70|215|2.19340|-549.69|67638.0|1.99|503.15|45.60|705.69
238|C7HhO|4-methylphenol (p-eresol)|106-44-5|1|4.18050|1525.320|163.400||||||0.02|369.10|2|502.93
238|C7HhO|4-methylphenol (p-eresol)|106-44-5|2|4.18050|1525.320|163.400|704.50|215|2.10170|65.801|77063|2.01|503.15|51.50|704.49
239|c7h.,n|2.3-dimethylpyridine (2.3 lutidine)|583-61-9|1|4.18570|1536.350|206400||||||0.02|327.90|2|462.24
240|c7h.7n|2.4-dimethylpyridine (2.4 lutidine)|108-47-4|1|4.20962|1542.940|208.630||||||0.02|325.65|2|459.28
241|c7h.,n|2,5-dimethylpyridine (2.5 lutidine)|589-93-5|1|4.20857|1541.780|209.850||||||0.02|324.20|2|457.87
242|c7h.,n|2,6-dimethylpyridine (2.6 lutidine)|108-48-5|1|4.08748|1407.250|201.001||||||0.02|315.34|2|443.79
243|c7h.,n|3.4-dimethylpyridine (3.4 lutidine)|583-58-4|1|4.18920|1605.140|204.550||||||0.02|341.10|2|481.43
244|c7h.7n|3,5-dimethylpyridine (3.5 lutidine)|591-22-0|1|4.21290|1595.150|207.240||||||0.02|335.73|2|473.68
245|c7h,,o,|Butyl-2-propenoate (Butylaerylate)|141-32-2|3|644.00|-7.59083|1.96932|-3.05837|-4.17604|45.40|||0.02|318.51|1.0133|419.77
246|c7h14|eycloheptane|291-64-5|1|3.96330|1322.21997|215.297||||||0.02|291.40|2|418.89
246|c7h14|eycloheptane|291-64-5|2|3.96330|1322.220|215.297|604.30|129|2.52840|250.300|-13243.|1.5443|408.15|33.70|593.15
247|c7h14|methyleyelohexane|108-87-2|1|3.98232|1290.968|223.701||||||0.02|276.68|2|400.13
247|c7h14|methyleyelohexane|108-87-2|2|3.98232|1290.97|223.701|572.19|115|2.79424|53.706|2916.13|1.9059|398.15|34.71|572.19
248|c7h14|ethyleyelopentane|1640-89-7|1|4.00408|1293.712|220.120||||||0.02|279.88|2|402.39
248|c7h14|ethyleyelopentane|1640-89-7|2|4.00408|1293.712|220.120|569.52|110|2.66692|561.915|-45612.|2.30|408.15|33.60|569.52
249|c7h14|cis-1,3-dimethylcyclopentane|2532-58-3|1|4.00405|1259.821|223.530||||||0.02|270.52|2|389.83
250|c7h14|trans-1,3-dimethylcyclopentane|1759-58-6|1|3.95279|1232.161|221.420||||||0.02|269.74|2|389.15
251|c7h14|1 -heptene|592-76-7|1|4.02677|1258.340|219.300||||||0.02|273.62|2|391.59
251|c7h14|1 -heptene|592-76-7|2|4.02677|1258.340|219.300|537.30|103|2.61660|290.600|-17516.|1.83|388.15|23.23|523.15
252|c7h14o,|heptanoic aeid|111-14-8|3|679.00|-8.94240|2.20536|-8.82144|-1.9710|29.00|||||29.00|679.00
255|c7h14o,|propyl butanoate|105-66-8|1|3.40455|1019.490|156.600||||||0.02|316.00|2|445.04
256|c7h14o,|2-methylpropyl propanoate|540-42-1|1|3.56180|1042.300|156.500||||||0.03|321.60|2|436.30
259|c7h,„|heptane|142-82-5|1|4.02023|1263.909|216.432||||||0.02|277.71|2|396.53
259|c7h,„|heptane|142-82-5|3|540.15|-7.77404|1.85614|-2.8298|-3.5070|27.35|||||27.35|540.15
260|c7h,„|2-methylhexane|591-76-4|1|3.99739|1235.520|219.497||||||0.02|270.55|2|387.88
260|c7h,„|2-methylhexane|591-76-4|2|3.99739|1235.520|219.500|530.10|100|2.04000|575.200|-40292|1.548|378.15|21.38|513.15
261|c7h,„|3-methylhexane|589-34-4|1|3.99571|1242.018|219.435||||||0.02|271.90|2|389.82
261|c7h,„|3-methylhexane|589-34-4|2|3.99571|1242.020|219.440|535.20|100|1.89740|267.300|-9936.0|1.471|378.15|20.51|513.15
262|c7h,„|3-ethylpentane|617-78-7|1|4.00449|1254.055|220.136||||||0.02|272.90|2|391.62
262|c7h,„|3-ethylpentane|617-78-7|2|4.00449|1254.060|220.140|540.50|103|2.38910|565.800|-38997|1.404|378.15|19.64|513.15
263|c7h,„|2,2-dimethylpentane|590-35-2|1|3.94392|1191.959|223.498||||||0.02|260.90|2|376.84
263|c7h,„|2,2-dimethylpentane|590-35-2|2|3.94392|1191.906|223.500|520.40|89|2.20020|515.600|-33215|1.59|368.15|21.68|503.15
264|c7h,„|2.3-dimethylpentane|565-59-3|1|3.98066|1238.986|221.942||||||0.04|281.56|2|387.89
264|c7h,„|2.3-dimethylpentane|565-59-3|2|3.98066|1238.990|221.940|537.30|99|1.97920|282.400|-12835.|1.553|378.15|20.74|513.15
265|c7h,„|2,4-dimethylpentane|108-08-7|1|3.95442|1193.612|221.807||||||0.02|262.40|2|378.01
265|c7h,„|2,4-dimethylpentane|108-08-7|2|3.95442|1193.160|221.810|519.70|90|1.92600|224.400|-4163.0|1.538|368.15|21.54|503.15
266|c7h,„|3.3-dimethylpentane|562-49-2|1|3.94912|1227.020|225.121||||||0.02|265.20|2|384.36
266|c7h,„|3.3-dimethylpentane|562-49-2|2|3.94912|1227.020|225.120|536.30|96|2.15280|420.700|-24617|1.707|378.15|21.38|513.15
267|c7h,„|2.2.3-trimethylbutane|464-06-2|1|3.91555|1 199.397|225.908||||||0.02|260.90|2|379.04
267|c7h,„|2.2.3-trimethylbutane|464-06-2|2|3.91555|1199.400|225.910|531.10|91|1.98860|309.700|-16910.|1.507|368.15|20.09|503.15
268|c7h,„o|1 -heptanol|111-70-6|1|4.01991|1274.890|140.940||||||0.02|355.10|2|475.03
268|c7h,„o|1 -heptanol|111-70-6|3|632.50|-9.68778|5.35716|-10.1672|-8.0100|31.35|||||31.35|632.50
272|C„H„0|MethylPhenylKetone|98-86-2|3|713.00|-8.9386|4.01161|-4.5941|-2.57768|44.00|||0.02|360.46|2.7|520.00
273|ChH„,|ethylbenzene|100-41-4|1|4.06861|1415.770|212.300||||||0.02|306.32|2|436.63
273|ChH„,|ethylbenzene|100-41-4|3|617.20|-7.53139|1.75439|-2.42012|-3.57146|36.00|||||36.00|617.20
274|ChH„,|1.2-dimethylbenzene (o-xylene)|95-47-6|1|4.09789|1458.706|212.041||||||0.02|312.75|2|445.30
274|ChH„,|1.2-dimethylbenzene (o-xylene)|95-47-6|3|630.33|-7.60491|1.75383|-2.27531|-3.73771|37.35|||||37.35|630.33
275|ChH„,|1,3-dimethylbenzene (m-xylene)|108-38-3|1|4.14051|1468.703|216.120||||||0.02|308.54|2|439.56
275|ChH„,|1,3-dimethylbenzene (m-xylene)|108-38-3|3|617.05|-7.67717|1.80240|-2.47745|-3.66068|35.38|||||35.38|617.05
276|ChH„,|1.4-dimethylbenzene (p-xylene)|106-42-3|1|4.10494|1446.832|214.627||||||0.02|307.81|2|438.88
276|ChH„,|1.4-dimethylbenzene (p-xylene)|106-42-3|3|616.23|-7.71694|1.89119|-2.39695|-3.63026|35.16|||||35.16|616.23
277|ChH„,0|2-ethylphenol|90-00-6|1|4.13365|1550.440|171.074||||||0.02|367.90|2|506.61
278|ChH„,0|3-ethylphenol|620-17-7|1|4.16568|1572.260|159.52399||||||0.02|381.72|2|520.46
279|ChH„,0|4-ethyl-phenol|123-07-9|1|4.13227|1545.23999|156.468||||||0.02|381.67|2|520.01
280|ChH„,0|2.3-dimethylphenol (2.3 xylenol)|526-75-0|1|4.12202|1576.780|166.173||||||0.02|377.86|2|519.64
281|ChH„,0|2.4-dimethylphenol (2.4 xylenol)|105-67-9|1|4.18688|1592.780|170.004||||||0.02|373.76|2|513.04
282|QH.,,0|2.5-dimethylphenol (2.5 xylenol)|95-87-4|1|4.13449|1563.140|167.453||||||0.02|373.66|2|513.46
283|ChH„,0|2,6-dimethylphenol (2.6 xylenol)|576-26-1|1|4.19336|1627.230|187.547||||||0.02|361.76|2|503.66
284|ChH„,0|3,4-dimethylphenol (3.4 xylenol)|95-65-8|1|4.21183|1627.780|160.041||||||0.02|388.50|2|529.34
285|ChH„,0|3.5-dimethylphenol (3.5 xylenol)|108-68-9|1|4.26229|1645.270|164.821||||||0.02|384.32|2|523.67
286|C„H,,|eyclooctane|292-64-8|1|3.98125|1434.670|209.712||||||0.02|316.00|2|453.27
286|C„H,,|eyclooctane|292-64-8|2|3.98125|1434.670|209.712|647.20|162|2.30600|325.500|-31112.|1.787|448.15|31.30|633.15
287|ChH,„|1-1,4-dimethylcyclohexane|2207-04-7|1|4.02425|1457.08|205.99||||||0.02|321.75|2|458.51
288|CsHla|1-cetene|111-66-0|1|4.05985|1355.460|213.050||||||0.02|295.47|2|420.71
288|CsHla|1-cetene|111-66-0|2|4.05985|1355.460|213.050|566.65|131|2.68960|512.500|-40092.|1.88|418.15|21.34|553.15
289|ChH,„02|octanoie aeid|124-07-2|3|695.00|-9.04015|2.16529|-8.66117|-4.69516|26.40|||||26.40|695.00
296|C„H1h|octane|111-65-9|1|4.05075|1356.360|209.635||||||0.02|299.42|2|425.23
296|C„H1h|octane|111-65-9|3|568.95|-8.04937|2.03865|-3.3120|-3.6480|24.90|||||24.90|568.95
297|C„H1h|2-methylheptane|592-27-8|1|4.03877|1335.220|213.415||||||0.03|299.81|2|416.95
297|C„H1h|2-methylheptane|592-27-8|2|4.03877|1335.220|213.415|559.60|128|2.47135|255.100|-7424.0|1.6088|408.15|19.73|543.15
298|C„H1h|3-methylheptane|589-81-1|1|4.01533|1326.140|211.813||||||0.04|306.32|2|418.36
298|C„H1h|3-methylheptane|589-81-1|2|4.01533|1326.140|211.813|563.67|129|2.43555|315.600|-15218.|1.5543|408.15|19.13|543.15
299|C„H1h|4-methylheptane|589-53-7|1|4.02214|1325.704|212.367||||||0.02|292.50|2|417.05
299|C„H1h|4-methylheptane|589-53-7|2|4.02214|1325.740|212.367|561.74|128|2.41333|240.700|-8481.0|1.6055|408.15|19.63|543.15
300|C„H1h|3-ethylhexane|619-99-8|1|4.01533|1327.930|212.645||||||0.02|292.90|2|418.01
300|C„H1h|3-ethylhexane|619-99-8|2|4.01533|1327.930|212.645|565.49|129|2.39952|227.500|-2817.0|1.5687|408.15|19.17|543.15
301|C„H1h|2,2-dimethylhexane|590-73-8|1|3.95748|1271.180|214.830||||||0.02|283.00|2|405.96
301|C„H1h|2,2-dimethylhexane|590-73-8|2|3.95748|1271.180|214.830|549.87|117|2.40185|301.200|-17401|1.6476|398.15|20.05|533.15
302|C„H1h|2.3-dimethy lhexane|584-94-1|1|3.99236|1314.290|214.059||||||0.02|290.00|2|415.13
302|C„H1h|2.3-dimethy lhexane|584-94-1|2|3.99236|1314.290|214.059|563.49|126|2.33502|185.000|-3318.0|1.6871|408.15|19.87|543.15
303|C„H1h|2.4-dimethy lhexane|589-43-5|1|3.97399|1285.850|214.600||||||0.02|285.20|2|408.63
303|C„H1h|2.4-dimethy lhexane|589-43-5|2|3.97399|1285.850|214.600|553.52|119|2.36737|149.300|482.00|1.5404|398.15|19.25|533.15
304|C„H1h|2.5-dimethy lhexane|592-13-2|1|3.98112|1285.470|214.248||||||0.02|285.20|2|408.20
305|C„H1h|3.3-dimethy lhexane|563-16-6|1|3.97403|1306.960|217.376||||||0.02|286.10|2|411.59
305|C„H1h|3.3-dimethy lhexane|563-16-6|2|3.97403|1306.960|217.376|562.02|122|2.39488|144.900|-2353.0|1.8412|408.15|20.57|543.15
306|C„H1h|3.4-dimethy lhexane|583-48-2|1|4.00310|1329.400|214.836||||||0.02|291.40|2|417.40
306|C„H1h|3.4-dimethy lhexane|583-48-2|2|4.00310|1329.400|214.836|568.85|128|2.50297|320.500|-18497.|1.596|408.15|18.98|543.15
307|C„H1h|3-ethyl-2-methylpentane|609-26-7|1|3.98610|1317.050|215.229||||||0.02|289.50|2|415.31
307|C„H1h|3-ethyl-2-methylpentane|609-26-7|2|3.98610|1317.050|215.229|567.09|126|2.38973|174.900|-4584.0|1.6811|408.15|19.54|543.15
308|C„H1h|3-ethyl-3-methylpentane|1067-08-9|1|3.98950|1345.920|219.584||||||0.02|290.10|2|418.46
308|C„H1h|3-ethyl-3-methylpentane|1067-08-9|2|3.98950|1345.920|219.584|576.58|129|2.43672|182.800|-7717.0|1.5622|408.15|18.05|543.15
309|C„H1h|2,2,3-trimethylpentane|564-02-3|1|3.94826|1293.940|218.355||||||0.02|283.90|2|409.56
309|C„H1h|2,2,3-trimethylpentane|564-02-3|2|3.94826|1293.940|218.355|563.50|120|2.45345|162.400|-5383.0|1.934|408.15|20.84|543.15
310|C„H1h|2.2.4-trimethylpentane (isooctane)|540-84-1|1|3.93646|1257.850|220.767||||||0.02|275.50|2|398.38
310|C„H1h|2.2.4-trimethylpentane (isooctane)|540-84-1|2|3.93646|1257.850|220.767|543.90|124|2.13261|134.500|12998.0|1.9889|398.15|25.42|543.15
311|C„H1h|2.3.3-trimethylpentane|560-21-4|1|3.96421|1325.810|220.161||||||0.02|287.00|2|414.91
311|C„H1h|2.3.3-trimethylpentane|560-21-4|2|3.96421|1325.810|220.161|573.56|125|2.37930|76.300|1851.00|1.7032|408.15|18.93|543.15
312|C„H1h|2.3.4-trimethylpentane|565-75-3|1|3.97700|1314.310|217.481||||||0.04|300.19|2|413.19
312|C„H1h|2.3.4-trimethylpentane|565-75-3|2|3.97700|1314.310|217.481|566.41|124|2.39574|169.400|-4867.0|1.7713|408.15|19.98|543.15
313|C„H1h|2.2.3.3-tetramethylbutane|594-82-1|1|3.90420|1270.100|219.500||||||0.90|375.20|2|406.00
314|C.H..0|1-octanol|111-87-5|1|3.90225|1274.800|131.990||||||0.02|368.80|2|495.15
314|C.H..0|1-octanol|111-87-5|3|652.50|-10.01437|5.90629|-10.4026|-9.0480|28.60|||||28.60|652.50
315|C„H1hO|2-oetanol|123-96-6|1|3.51370|1060.400|122.500||||||0.02|354.00|2|480.72
315|C„H1hO|2-oetanol|123-96-6|3|638.00|-9.37352|4.73760|-8.3382|-11.646|28.90|||||28.90|638.00
317|C„H1hO|4-oetanol|589-62-8|1|5.08522|1816.393|190.020||||||0.0001|283.00|0.02|353.00
318|C„H1hO|2-ethyl-1 -hexanol|104-76-7|3|640.50|-9.61812|5.17861|-9.1144|-11.004|27.99|||||27.99|640.50
319|CSH„N|n-octanamine(Octylamine)|111-86-4|3|641.00|-7.99396|1.40573|-2.98188|-6.60435|26.17|||0.02|434.49|2.7|494.5
322|c,h7n|quinoline|91-22-5|1|4.19490|1812.250|195.450||||||0.02|385.18|2|543.1 1
322|c,h7n|quinoline|91-22-5|2|4.19490|1812.250|195.450|782.00|247|1.73760|28.233|-2288.0|2.01|543.15|44.70|773.15
325|c4h„|propylbenzene|103-65-1|1|4.07664|1491.800|207.250||||||0.02|324.19|2|461.01
325|c4h„|propylbenzene|103-65-1|2|4.07664|1491.800|207.250|638.28|170|2.19580|0.000|0.00|2.097|463.15|31.80|638.28
326|cji.|1 -methylethylbenzene|98-82-8|1|4.06112|1460.766|207.830||||||0.02|318.92|2|453.81
327|C„H,.|1 -ethyl-4-methylbenzene|622-96-8|1|4.10862|1517.577|207.900||||||0.02|326.56|2|463.82
328|C,H17|1,2,3-trimethylbenzene|526-73-8|1|4.17110|1598.241|207.620||||||0.02|337.80|2|478.50
329|c,h17|1,2.4-trimethylbenzene|95-63-6|1|4.17692|1579.353|209.290||||||0.02|332.64|2|471.34
330|cji.|1,3.5-trimethylbenzene (mesitylene)|108-67-8|1|4.22541|1581.360|210.010||||||0.02|330.06|2|466.10
331|C,H1S|1-nonene|124-11-8|1|4.07920|1436.200|205.690||||||0.02|316.02|2|447.59
331|C,H1S|1-nonene|124-11-8|2|4.07920|1436.200|205.690|593.20|157|2.60900|655.800|-55549|1.6|438.15|17.99|573.15
332|C.,H1hO,|nonanoie aeid|112-05-0|3|711.00|-9.10090|2.49646|-9.98583|-2.13513|24.30|||||24.30|711.00
333|C.,HwO,|3-methylbutyl butanoate|106-27-4|1|4.50447|1805.080|222.300||||||0.02|342.00|2|480.28
334|C„H,„|nonane|111-84-2|1|4.07356|1438.030|202.694||||||0.02|319.57|2|451.64
334|C„H,„|nonane|111-84-2|3|594.90|-8.32886|2.25707|-3.8257|-3.7320|22.90|||||22.90|594.90
335|C„H,„|2-methyloctane|3221-61-2|1|4.03660|1399.900|204.000||||||0.02|313.00|2|444.00
336|C„H,„|2,2-dimethylheptane|1071-26-7|1|3.95530|1346.100|208.000||||||0.02|303.00|2|433.00
337|C„H,„|2.2.5-trimethylhexane|3522-94-9|1|3.97372|1332.86|211.81||||||0.02|296.30|2|424.25
338|C„H,„|2.2.3.3-tetramethylpentane|7154-79-2|1|3.95319|1397.690|213.780||||||0.02|306.60|2|442.00
339|C,H,„|2,2.3.4-tetramethylpentane|1186-53-4|1|3.95552|1373.790|214.780||||||0.02|301.40|2|434.20
340|C,H,„|2,2.4.4-tetramethylpentane|1070-87-7|1|3.92055|1324.65|216.08||||||0.02|292.79|2|423.04
