,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
37,Sulfur dioxide,SO2,,"7446-09-5,67015-63-8",,,-61.9,-52.1,-37.5,-24.8,-10.3,6.3,32.5,56.3,-7.27858,1.72871,-2.37473,-2.70464
38,Sulfur trioxide,SO3,,"7446-11-9,12210-38-7",,,,,19.6,31.1,44.2,59.5,84.1,107.3,-8.74717,6.32513,-13.93665,-9.67972
39,Sulfuryl chloride,Cl2SO2,,7791-25-5,-36.5,-27.0,-1.3,11.9,31.7,49.1,69.0,92.1,129.2,163.9,-6.32835,0.89929,-2.88437,-1.2433
40,Sulfur hexafluoride,SF6,,2551-62-4,,,,,,,,,-29.8,-8.0,-7.08034,1.65103,-1.96365,-0.2506
41,Methyl mercaptan,CH4S,,"74-93-1,17719-48-1",-81.6,-73.8,-52.6,-41.8,-25.3,-10.9,5.7,24.9,55.7,84.3,-8.04229,4.64898,-4.38751,-1.03684
42,Ethyl mercaptan,C2H6S,,75-08-1,-62.2,-53.6,-30.1,-18.0,0.3,16.3,34.7,55.9,89.7,120.8,-6.854,1.41434,-1.74027,-2.40242
43,Dimethyl sulfide,C2H6S,,"75-18-3,31533-72-9",-59.7,-51.2,-27.9,-15.9,2.4,18.5,37.0,58.5,92.9,124.6,-7.20168,1.9908,-1.67979,-3.99499
44,Diethyl sulfide,C4H10S,,352-93-2,-23.6,-13.1,15.4,29.8,51.5,70.3,91.7,116.3,155.0,190.5,-6.90446,0.4832,-1.77018,-0.12336
45,Thiophene,C4H4S,,"110-02-1,25233-34-5,51325-05-4,107760-19-0",-26.0,-16.3,10.2,23.8,44.6,62.8,83.8,108.1,147.0,182.8,-7.01021,1.63774,-1.6672,-4.21813
46,Fluoromethane,CH3F,(R41),"593-53-3,51311-17-2,13453-52-6,3889-75-6",-140.5,-135.0,-120.0,-112.2,-100.5,-90.3,-78.6,-65.1,-43.7,-24.0,-7.21927,1.95643,-1.73271,-2.07627
47,Difluoromethane,CH2F2,(R32),75-10-5,-119.6,-113.5,-96.9,-88.5,-75.7,-64.6,-51.9,-37.3,-14.3,6.6,-7.47027,1.75595,-2.01429,-2.62147
48,Trifluoromethane,CHF3,(R23),75-46-7,-141.6,-136.3,-121.8,-114.4,-103.2,-93.4,-82.3,-69.4,-49.1,-30.3,-7.38216,1.96234,-2.68392,-1.43178
49,Tetrafluoromethane,CF4,(R14),"75-73-0,60346-90-9",-175.8,-171.6,-160.3,-154.4,-145.4,-137.4,-128.3,-117.6,-100.4,-84.6,-6.92188,1.54525,-1.41276,-2.87791
50,Methyl chloride,CH3Cl,,"74-87-3,2108-20-5",,-96.2,-77.1,-67.3,-52.5,-39.4,-24.5,-7.1,20.4,45.7,-6.71862,1.27727,-0.96338,-3.14698
51,Methylene chloride,CH2Cl2,,75-09-2,-56.3,-47.8,-24.5,-12.6,5.5,21.3,39.4,60.5,94.2,125.5,-7.57368,3.17104,-3.53296,-2.27696
52,Chloroform,CHCl3,,67-66-3,-41.8,-32.9,-8.2,4.5,23.9,41.0,60.7,83.6,120.0,153.4,-7.32485,1.69599,-0.93627,-5.8959
53,Carbon tetrachloride,CCl4,,56-23-5,,,2.1,15.8,36.7,55.1,76.3,101.0,140.5,177.1,-7.11728,1.96174,-2.059,-3.26771
54,Bromomethane,CH3Br,,74-83-9,-84.4,-76.6,-55.3,-44.4,-27.8,-13.3,3.3,22.4,52.7,80.2,-7.6538,2.84555,-1.71564,-2.54232
55,Dibromomethane,CH2Br2,,"74-95-3,4371-77-1",-16.0,-6.0,21.3,35.4,56.6,75.2,96.5,121.2,160.3,196.1,-7.25658,1.92921,-1.61527,-4.04404
56,Tribromomethane,CHBr3,,"75-25-2,4471-18-5",18.8,30.4,62.0,78.2,102.7,124.1,148.7,177.2,223.0,265.7,-7.16326,2.92794,-3.91279,-1.16341
57,Tetrabromomethane,CBr4,,558-13-4,,,95.2,111.8,137.8,161.3,188.8,220.6,269.5,310.6,-13.4848,9.03531,1.84773,-22.2683
58,Chlorodifluoromethane,CHClF2,(R22),75-45-6,-113.5,-107.0,-89.5,-80.4,-66.8,-54.8,-41.1,-25.2,0.1,23.4,-7.0921,1.61905,-2.01221,-2.73123
59,Dichlorofluoromethane,CHCl2F,(R21),75-43-4,-78.7,-70.9,-49.8,-39.0,-22.5,-8.1,8.5,27.7,58.3,86.7,-6.95944,1.53177,-1.97969,-3.25683
60,Chlorotrifluoromethane,CClF3,(R13),75-72-9,-144.2,-138.7,-123.7,-115.9,-104.1,-93.7,-81.7,-67.7,-45.2,-24.4,-6.82801,1.52677,-1.75147,-2.23841
61,Dichlorodifluoromethane,CCl2F2,(R12),75-71-8,-108.7,-101.8,-82.9,-73.1,-58.3,-45.2,-30.1,-12.5,15.7,41.7,-6.92085,1.62615,-1.73939,-2.58282
62,Trichlorofluoromethane,CCl3F,(R11),75-69-4,-71.6,-63.3,-40.4,-28.6,-10.7,5.1,23.3,44.4,78.2,109.4,-6.91946,1.52457,-1.66128,-2.8532
63,Ethyl fluoride,C2H5F,(R161),353-36-6,-113.2,-106.5,-88.2,-78.8,-64.6,-52.1,-38.0,-21.6,4.4,28.1,-7.07032,1.42577,-1.49199,-1.92623
64,Ethyl chloride,C2H5Cl,,"75-00-3,25854-33-5,7371-46-2,25052-55-5",-78.2,-70.2,-48.3,-37.1,-20.1,-5.2,11.9,31.7,63.4,92.7,-7.36967,2.69543,-3.0279,-1.39375
65,Ethyl bromide,C2H5Br,,74-96-4,-62.1,-53.0,-28.2,-15.7,3.1,19.5,38.1,59.5,93.7,125.1,-9.71666,7.74488,-7.76676,3.99427
66,"1,1-Dichloroethane",C2H4C2H4Cl2,,"75-34-3,1300-21-6",-45.7,-36.5,-11.5,1.3,20.6,37.4,56.7,78.9,114.0,146.3,-6.63204,0.36053,-1.04822,-2.87286
