,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
138,Cyclopentane,C5H10,,287-92-3,-53.7,-44.7,-19.9,-7.1,12.3,29.3,48.8,71.5,107.8,141.3,-7.00184,1.6743,-1.95254,-2.43833
139,Methyl cyclopentane,C6H12,,"96-37-7,5310-57-6",-37.7,-28.1,-1.8,11.8,32.4,50.5,71.4,95.7,134.5,170.5,-7.22687,1.83847,-2.26044,-2.89788
140,Ethyl cyclopentane,C7H14,,1640-89-7,-15.1,-4.7,23.7,38.4,60.7,80.3,102.9,129.2,171.2,209.9,-7.33383,1.5875,-2.00285,-3.84956
141,Propyl cyclopentane,C8H16,,2040-96-2,5.5,16.5,46.6,62.1,85.8,106.6,130.5,158.3,202.5,243.0,-7.564,1.41441,-1.85483,-4.86488
142,Butyl cyclopentane,C9H18,,2040-95-1,24.6,36.3,68.2,84.5,109.2,130.9,155.9,185.0,231.7,274.9,-8.82045,4.56618,-6.39502,0.0491
143,Pentyl cyclopentane,C10H20,,3741-00-2,42.1,54.5,87.9,105.0,130.9,153.6,179.9,210.8,261.3,309.1,-8.34838,4.6092,-8.05957,2.47945
144,Hexyl cyclopentane,C11H22,,4457-00-5,60.4,72.9,107.3,125.0,151.9,175.5,202.6,233.9,283.6,328.9,-8.25942,1.53284,-2.79124,-6.47404
145,Cyclohexane,C6H12,,"110-82-7,12217-02-6",,,,19.2,40.3,58.9,80.3,105.2,145.1,182.0,-7.00979,1.57475,-1.9682,-3.26095
146,Methyl cyclohexane,C7H14,,108-87-2,-17.9,-7.7,20.7,35.4,57.8,77.6,100.5,127.1,169.6,208.9,-6.9929,1.02989,-1.06613,-4.84894
147,Ethyl cyclohexane,C8H16,,1678-91-7,4.7,15.7,46.2,61.9,85.9,107.0,131.4,159.8,205.4,247.9,-6.62098,0.32843,-1.34736,-4.41951
148,Propyl cyclohexane,C9H18,,1678-92-8,23.2,34.9,67.0,83.5,108.6,130.7,156.2,186.0,233.9,279.1,-6.5891,0.42832,-2.35856,-3.12499
149,Butyl cyclohexane,C10H20,,"1678-93-9,69-67-0",41.8,54.0,87.5,104.7,130.9,153.9,180.4,211.5,261.7,309.3,-6.34269,-0.12784,-2.4878,-3.28017
150,Pentyl cyclohexane,C11H22,,4292-92-6,58.7,71.5,106.5,124.4,151.6,175.5,203.1,235.4,287.2,334.7,-9.46392,5.58832,-7.94937,0.81254
151,Hexyl cyclohexane,C12H24,,4292-75-5,75.6,88.9,125.0,143.4,171.3,195.9,224.1,257.0,309.7,357.8,-9.74155,5.86346,-8.50766,1.30484
152,Cyclopentene,C5H8,,"142-29-0,29300-20-7,10016-46-3",-57.1,-48.1,-23.7,-11.1,8.0,24.7,43.9,66.2,101.7,134.5,-7.05071,1.79116,-2.02594,-2.17803
153,Cyclohexene,C6H10,,"110-83-8,25012-94-6",-29.4,-19.6,7.4,21.3,42.5,61.1,82.5,107.5,147.3,184.3,-7.19079,1.97175,-2.26256,-3.04106
154,Benzene,C6H6,,"71-43-2,54682-86-9,25053-22-9,62485-97-6,26181-88-4,3355-34-8",,,6.3,20.0,40.6,58.8,79.7,103.9,142.6,178.4,-7.11451,1.83981,-2.25158,-3.15179
155,Toluene,C7H8,,"108-88-3,25013-04-1",-9.0,1.5,30.4,45.3,67.8,87.5,110.2,136.4,178.3,216.8,-7.50051,2.08939,-2.56368,-2.85042
156,Ethyl benzene,C8H10,,100-41-4,9.6,20.8,51.3,67.0,90.8,111.7,135.7,163.5,207.7,248.4,-7.64476,2.01616,-2.69311,-3.25571
157,Propyl benzene,C9H12,,103-65-1,26.2,38.0,70.1,86.6,111.6,133.5,158.7,187.9,234.3,276.9,-7.90921,2.25623,-3.18277,-3.03789
158,Butyl benzene,C10H14,,104-51-8,44.8,57.0,90.4,107.5,133.6,156.5,182.8,213.2,261.3,305.3,-7.91469,1.51273,-2.1643,-5.64758
159,Pentyl benzene,C11H16,,538-68-1,61.6,74.3,108.9,126.7,153.7,177.5,205.0,237.1,288.3,334.8,-9.80886,6.0729,-7.50612,-1.56859
160,Hexyl benzene,C12H18,,1077-16-3,77.4,90.5,126.4,144.8,172.7,197.3,225.6,258.5,311.0,358.4,-9.64511,5.1913,-6.86455,-2.47938
161,o-Xylene,C8H10,,95-47-6,15.6,27.0,58.1,74.1,98.4,119.6,143.9,172.1,216.8,257.9,-7.60791,1.79921,-2.42215,-3.36892
162,m-Xylene,C8H10,,108-38-3,12.1,23.3,54.0,69.8,93.7,114.6,138.6,166.4,210.5,250.9,-7.63902,1.65289,-2.19801,-3.94677
163,p-Xylene,C8H10,,"106-42-3,136777-61-2",,22.2,53.0,68.8,92.8,113.8,137.9,165.8,210.0,250.6,-7.67395,1.81953,-2.39673,-3.44627
164,"1,2,3-Trimethyl benzene",C9H12,,"526-73-8,25551-13-7",38.5,50.8,84.4,101.5,127.4,149.9,175.7,205.3,252.0,294.7,-7.62987,1.23706,-2.24536,-2.65979
165,"1,2,4-Trimethyl benzene",C9H12,,"95-63-6,95-36-3",34.2,46.2,79.0,95.8,121.2,143.5,168.9,198.3,244.8,287.2,-8.03805,2.10078,-2.99671,-3.00299
166,"1,3,5-Trimethyl benzene",C9H12,,"108-67-8,19121-63-2",31.3,43.2,75.7,92.3,117.3,139.2,164.2,193.0,238.4,279.7,-7.82434,1.27065,-2.1789,-3.60299
167,"1,2,3,4-Tetramethyl benzene",C10H14,,488-23-3,61.0,73.9,108.8,126.7,153.7,177.4,204.6,236.2,286.5,332.6,-9.6142,5.81425,-7.22553,-0.17754
168,"1,2,3,5-Tetramethyl benzene",C10H14,,527-53-7,56.4,69.1,103.5,121.1,147.7,170.9,197.6,228.3,277.2,321.9,-8.71211,3.45458,-5.00258,-1.61174
169,"1,2,4,5-Tetramethyl benzene",C10H14,,"95-93-2,15220-27-6",,,102.2,119.9,146.5,169.7,196.2,226.8,275.0,319.1,-7.76585,0.9677,-2.26413,-3.93132
170,Pentamethyl benzene,C11H16,,700-12-9,80.3,93.9,131.0,149.8,178.2,202.9,230.9,263.1,313.7,359.8,-8.00728,1.10336,-2.69076,-2.48217
171,Hexamethyl benzene,C12H18,,87-85-4,,,,179.3,208.4,233.8,262.9,296.5,349.7,398.5,-8.54789,2.39022,-4.64673,-4.09546
172,Styrene,C8H8,,"100-42-5,25086-18-4,12770-88-6,6911-81-5,29967-69-9,98444-30-5",17.1,28.4,59.4,75.2,99.4,120.5,144.9,173.3,218.7,260.6,-8.15126,3.51813,-4.34082,-2.42333
173,Isopropyl benzene,C9H12,,"98-82-8,101316-43-2",21.7,33.2,64.6,80.8,105.5,127.1,151.9,180.7,226.6,268.8,-7.53496,1.50829,-2.32928,-4.31012
174,Biphenyl,C12H10,,"92-52-4,4819-98-1,26008-28-6",97.0,111.1,149.7,169.4,199.2,225.1,254.7,288.9,342.9,392.4,-7.75945,1.70606,-2.96632,-3.06189
175,Diphenyl methane,C13H12,,101-81-5,105.4,119.5,158.1,177.9,207.8,234.0,264.0,298.6,353.1,402.4,-8.53233,2.00873,-2.93179,-6.03029
176,Triphenyl methane,C19H16,,"519-73-3,2216-49-1",178.3,194.6,238.8,261.3,295.3,324.9,358.8,397.9,459.9,516.6,-8.84156,2.41421,-5.56532,-2.75668
177,Tetraphenyl methane,C25H20,,630-76-2,,,330.3,356.3,395.6,429.8,468.9,514.0,585.3,649.7,-9.59635,3.13229,-6.82319,-2.76211
178,Naphthalene,C10H8,,"91-20-3,31807-65-5",,80.6,117.1,135.8,164.1,188.9,217.4,250.4,303.0,351.4,-7.97682,2.86601,-3.50249,-2.67778
179,1-Methylnaphthalene,C11H10,,"90-12-0,1321-94-4",86.8,100.9,139.4,159.0,188.7,214.5,243.9,277.8,331.2,380.1,-6.84372,-0.39471,-0.79459,-3.92723
180,2-Methylnaphthalene,C11H10,,"91-57-6,7419-61-6",85.6,99.2,136.6,155.8,185.1,211.0,241.0,276.1,332.4,383.7,-10.50759,8.20742,-8.41116,-1.58015
181,1-Ethylnaphthalene,C12H12,,"1127-76-0,29793-40-6,27138-19-8",99.8,113.9,152.3,171.9,201.6,227.7,257.6,292.3,347.6,398.3,-9.12884,4.70431,-6.05976,-1.87388
182,2-Ethylnaphthalene,C12H12,,939-27-5,96.8,111.0,150.0,170.1,200.5,227.2,257.8,293.0,348.3,398.1,-8.42943,2.12066,-1.95832,-6.02831
183,Methanol,CH4O,,"67-56-1,170082-17-4,77810-22-1",-29.3,-20.4,3.4,15.2,32.7,47.5,64.1,82.8,111.4,136.6,-8.72963,1.4586,-2.78449,-0.70669
184,Ethanol,C2H6O,,"64-17-5,42845-45-4",-15.7,-6.7,17.2,29.0,46.5,61.4,77.9,96.6,125.2,150.7,-8.33803,0.0872,-3.30575,-0.26001
185,1-Propanol,C3H8O,,"71-23-8,142583-61-7,62309-51-7",0.7,9.9,34.3,46.4,64.3,79.6,96.8,116.3,146.8,174.5,-8.60671,2.17353,-8.04678,3.69194
186,1-Butanol,C4H10O,,"71-36-3,35296-72-1,64118-16-7,1219794-84-9,6167-45-9",16.8,26.3,51.5,64.1,82.9,99.1,117.4,138.3,171.4,201.9,-8.3312,2.0553,-8.17754,0.19316
187,1-Pentanol,C5H12O,,"71-41-0,30899-19-5,148587-12-6",30.6,40.4,66.8,80.1,100.2,117.6,137.5,160.3,196.4,229.6,-8.62225,2.10135,-6.29175,-6.79293
188,1-Hexanol,C6H14O,,"111-27-3,25917-35-5",44.9,55.2,83.0,97.0,118.1,136.4,157.3,181.5,220.1,256.1,-9.17319,4.30846,-10.1189,-0.93221
189,1-Heptanol,C7H16O,,"111-70-6,53535-33-4,1219804-99-5",59.9,70.3,98.4,112.8,134.7,153.9,176.1,202.0,243.7,282.4,-8.85687,3.21033,-7.48606,-12.12938
190,1-Octanol,C8H18O,,"111-87-5,220713-26-8",72.5,83.4,113.0,128.2,151.2,171.4,194.8,222.1,266.4,307.4,-10.26829,6.70186,-11.65601,-6.37873
191,Isopropanol,C3H8O,,"67-63-0,8003-15-4,1344575-38-7",-8.9,-0.3,22.7,34.1,51.1,65.6,81.9,100.4,129.3,155.6,-8.44737,1.17402,-6.97876,0.69248
192,2-Methyl-1-propanol,C4H10O,,78-83-1,11.8,20.5,44.2,56.2,74.2,89.7,107.5,127.9,160.2,190.0,-7.8296,0.4451,-5.32308,-10.00835
193,3-Methyl-1-butanol,C5H12O,,"123-51-3,6423-06-9",27.6,36.9,62.3,75.2,94.6,111.5,130.9,153.1,188.4,220.8,-8.27417,1.16334,-5.04768,-11.64372
194,Ethylene glycol,C2H6O2,,107-21-1,75.1,86.6,117.3,132.7,155.4,174.8,196.6,221.3,259.7,294.2,-7.85575,1.06762,-5.14271,-1.6566
195,"1,3-Propylene glycol",C3H8O2,,"504-63-2,31714-45-1,345260-48-2",85.6,97.8,130.2,146.4,170.4,190.9,213.7,239.1,277.7,311.2,-10.42988,2.74631,-2.20347,-6.30476
196,Glycerol,C3H8O3,,"56-81-5,101662-08-2,144086-03-3,8013-25-0,107283-02-3,153050-05-6,26403-55-4,11003-00-2",147.5,160.8,196.2,213.9,239.9,262.2,287.2,315.6,359.8,400.1,-6.94758,-0.33345,-5.98569,-1.33011
197,Cyclohexanol,C6H12O,,108-93-0,47.1,57.3,84.8,98.8,120.2,138.9,160.4,185.6,226.3,264.7,-6.96569,0.93439,-5.00403,-10.297
198,Benzyl alcohol,C7H8O,,"100-51-6,66072-40-0,185532-71-2,27134-46-9",74.9,86.7,118.5,134.6,158.8,179.9,204.0,232.0,276.9,319.2,-7.38172,2.18313,-6.78536,-2.57851
199,o-Cresol,C7H8O,,"95-48-7,25134-02-5",60.1,71.8,103.6,119.9,144.4,165.8,190.3,218.6,263.2,303.8,-8.83275,3.4665,-4.36291,-6.10327
200,m-Cresol,C7H8O,,"108-39-4,27289-33-4",70.8,82.7,114.9,131.2,155.8,177.2,201.7,229.9,274.8,316.1,-8.84466,4.00993,-6.76021,-3.02124
201,p-Cresol,C7H8O,,"106-44-5,27289-34-5,2876-02-0",72.0,83.6,115.2,131.3,155.6,177.0,201.5,229.9,275.0,316.2,-11.38986,9.13086,-10.26796,-3.81158
202,Phenol,C6H6O,,"108-95-2,27073-41-2,17442-59-0,63496-48-0,73607-76-8",55.5,67.0,98.0,113.8,137.4,158.0,181.4,208.5,251.5,290.9,-10.48951,7.87328,-9.54201,-0.49292
203,Formic acid,CH2O2,,"64-18-6,14523-98-9,82069-14-5",,,22.3,37.0,59.2,78.4,100.2,125.0,163.7,198.4,-7.48216,0.88805,-0.32253,-2.58053
204,Acetic acid,C2H4O2,,"64-19-7,77671-22-8,6993-75-5",,,41.2,55.7,77.5,96.3,117.5,141.6,179.1,212.5,-9.34304,3.77735,-3.59092,-1.57006
205,Propionic acid,C3H6O2,,"79-09-4,90990-11-7",23.7,34.8,64.3,79.0,100.9,119.7,140.8,164.7,201.7,234.9,-9.05245,2.46694,-4.73604,1.29659
206,Butyric acid,C4H8O2,,107-92-6,46.8,57.6,86.8,101.4,123.2,142.0,163.2,187.4,225.0,258.8,-9.92279,3.73064,-6.94231,-1.65235
207,Valeric acid,C5H10O2,,"109-52-4,67291-18-3",54.9,66.0,96.0,111.1,133.6,153.1,175.1,200.2,239.3,274.5,-9.0796,1.91018,-4.75458,-4.7345
208,Caproic acid,C6H12O2,,"142-62-1,56279-38-0",82.1,93.5,123.9,139.2,162.0,181.7,204.0,229.7,270.3,307.8,-9.90505,4.66763,-11.56156,2.5912
209,Acetic anhydride,C4H6O3,,"108-24-7,285977-77-7,285977-78-8",20.7,31.5,60.7,75.5,97.8,117.1,139.1,164.3,204.0,240.2,-8.15436,1.80785,-3.76039,-3.04616
210,Propionic anhydride,C6H10O3,,123-62-6,37.5,50.2,83.5,99.8,123.8,144.0,166.5,191.9,231.3,267.1,-6.66964,-2.7067,-1.76623,7.5417
211,Chloroacetic acid,C2H3Cl O2,,79-11-8,67.3,78.4,108.4,123.5,146.3,166.0,188.6,214.5,255.6,293.3,-10.72534,7.62232,-10.44634,-2.56382
212,Dichloroacetic acid,C2H2Cl2O2,,79-43-6,69.5,80.7,111.0,126.5,149.8,170.2,193.5,220.3,262.7,301.1,-10.3804,6.03907,-7.4278,-7.72727
213,Trichloroacetic acid,C2HCl3O2,,76-03-9,70.5,82.3,114.1,130.0,153.7,174.1,197.2,223.6,265.1,302.8,-8.8039,2.91469,-6.75915,-0.26065
214,Ketene,C2H2O,,"463-51-4,12071-23-7",-121.4,-114.9,-97.4,-88.5,-75.0,-63.3,-50.0,-34.6,-10.1,12.6,-5.93228,0.34819,-1.82981,-0.1175
215,Acetone,C3H6O,,67-64-1,-44.6,-35.7,-11.2,1.4,20.3,36.8,55.7,77.5,111.9,143.3,-7.67033,1.96469,-2.4438,-2.90162
216,Methyl ethyl ketone,C4H8O,,78-93-3,-28.9,-19.2,7.4,20.9,41.2,59.0,79.2,102.5,139.4,173.2,-7.89149,2.46953,-3.5251,-0.92713
217,Diethyl ketone,C5H10O,,96-22-0,-11.4,-1.3,26.2,40.3,61.6,80.2,101.4,125.9,164.7,200.2,-7.27265,0.6312,-1.64177,-4.36962
218,Dipropyl ketone,C7H14O,,123-19-3,18.2,29.3,59.9,75.5,99.2,120.0,143.7,171.1,214.5,254.0,-7.98923,1.58266,-2.61251,-4.38408
219,Acetophenone,C8H8O,,98-86-2,60.3,73.0,107.7,125.4,152.1,175.4,201.9,232.4,280.4,324.2,-6.96667,-0.37241,-0.80507,-4.88404
220,Benzophenone,C13H10O,,119-61-9,138.2,153.2,194.0,214.8,246.2,273.6,305.0,341.3,398.8,450.9,-10.03049,5.92909,-7.69343,-1.20468
221,Dimethyl ether,C2H6O,,"115-10-6,157621-61-9",-103.8,-96.7,-77.5,-67.6,-52.8,-39.9,-25.1,-8.0,19.3,44.5,-7.33288,2.677,-3.4025,-0.11957
222,Diethyl ether,C4H10O,,"60-29-7,667919-88-2",-61.3,-52.8,-29.7,-17.8,0.2,16.0,34.1,55.1,88.7,119.7,-7.55709,2.15613,-3.02766,-2.37858
223,Dipropyl ether,C6H14O,,111-43-3,-21.9,-12.0,15.0,28.8,49.9,68.3,89.6,114.2,153.4,189.1,-8.55629,3.49469,-4.22192,-2.6153
224,Methyl propyl ether,C4H10O,,557-17-5,-57.9,-49.4,-26.1,-14.1,4.1,20.1,38.5,60.1,94.8,127.1,-8.76101,5.30514,-6.07025,-0.78235
225,Ethyl propyl ether,C5H12O,,628-32-0,-39.8,-30.9,-6.3,6.4,25.9,43.2,63.4,87.1,125.2,160.0,-10.68465,8.88906,-8.58949,-2.06505
226,Ethylene oxide,C2H4O,,75-21-8,-76.9,-69.1,-47.9,-37.1,-20.6,-6.2,10.2,29.1,58.9,86.0,-6.39656,-0.13545,0.30047,-4.54866
227,Furane,C4H4O,,"110-00-9,25067-54-3",-64.6,-55.8,-32.1,-20.1,-2.2,13.3,31.0,51.4,84.1,114.6,-7.98347,4.7172,-6.64737,3.77132
228,"1,4-Dioxane",C4H8O2,,"123-91-1,28552-22-9",,,24.8,39.3,61.0,79.7,101.0,125.4,163.9,199.3,-7.40401,2.12025,-3.88819,1.69876
229,Formaldehyde,CH2O,,"50-00-0,30525-89-4,53026-80-5,8013-13-6,12795-06-1",,-90.5,-71.5,-61.7,-47.0,-34.1,-19.4,-2.6,23.8,47.7,-7.46907,1.2829,-0.50464,-4.29089
230,Acetaldehyde,C2H4O,,75-07-0,-71.0,-62.8,-40.7,-29.3,-12.2,2.8,19.9,39.6,70.8,99.2,-7.48323,1.89754,-1.87991,-2.74165
231,Paraldehyde,C6H12O3,,"123-63-7,1499-02-1",,18.9,47.2,61.6,83.3,102.2,123.8,148.7,188.1,224.3,-8.39247,2.6685,-4.68103,-2.64044
232,Furfural,C5H4O2,,"98-01-1,25067-38-3",32.9,44.7,76.4,92.5,116.6,137.4,160.9,187.8,229.7,267.6,-7.19466,0.15098,-1.29504,-2.81404
233,Benzaldehyde,C7H6O,,"100-52-7,55279-75-9,28106-59-4,26006-39-3",42.3,54.5,87.6,104.6,130.2,152.7,178.3,208.0,254.8,297.6,-7.62714,1.75696,-2.27084,-3.9193
234,Salicylaldehyde,C7H6O2,,"90-02-8,27761-48-4,28777-87-9,29734-89-2",55.1,68.2,103.5,121.3,147.8,170.5,195.8,224.1,267.0,304.2,-10.08822,2.82918,-0.83177,-3.21642
235,Methyl formate,C2H4O2,,107-31-3,-60.4,-52.1,-29.6,-18.1,-0.8,14.2,31.4,51.2,82.5,111.3,-7.09661,1.33571,-2.14672,-2.79247
236,Ethyl formate,C3H6O2,,109-94-4,-43.7,-35.0,-11.4,0.7,19.0,35.1,53.6,75.0,109.1,140.5,-7.17811,1.31054,-2.17904,-4.8515
237,Propyl formate,C4H8O2,,110-74-7,-25.1,-15.7,10.0,23.1,43.1,60.6,80.6,103.9,141.1,175.4,-7.55263,1.95726,-3.16613,-3.81792
238,Methyl acetate,C3H6O2,,79-20-9,-42.1,-33.2,-9.0,3.3,21.9,38.1,56.6,78.0,112.0,143.2,-8.57584,4.22791,-5.37346,-0.82045
239,Ethyl acetate,C4H8O2,,141-78-6,-27.4,-18.0,7.4,20.4,40.0,57.1,76.7,99.4,135.4,168.4,-7.89734,2.16798,-3.5239,-3.10641
240,Propyl acetate,C5H10O2,,109-60-4,-9.7,0.2,27.0,40.8,61.8,80.1,101.1,125.4,164.0,199.3,-7.89781,1.68898,-2.74051,-5.47967
241,Methyl propionate,C4H8O2,,"554-12-1,308065-15-8",-25.7,-16.2,9.4,22.5,42.2,59.4,79.1,102.0,138.4,172.0,-8.30872,3.53745,-5.20774,-1.27089
242,Ethyl propionate,C5H10O2,,105-37-3,-11.5,-1.7,25.1,38.8,59.6,77.7,98.5,122.7,161.4,197.0,-8.75519,4.14793,-5.89411,-1.78473
243,Propyl propionate,C6H12O2,,106-36-5,3.7,14.5,43.6,58.5,80.7,100.1,122.0,147.2,186.8,222.9,-7.79443,0.71065,-2.20915,-2.58752
244,Methyl butyrate,C5H10O2,,623-42-7,-9.5,0.6,27.9,41.8,62.8,81.2,102.3,126.6,165.6,201.5,-8.52321,3.7835,-5.74769,-0.69681
245,Ethyl butyrate,C6H12O2,,105-54-4,0.3,11.1,40.6,55.7,78.4,98.3,120.9,147.1,188.5,226.2,-8.18197,2.21896,-3.32406,-2.03342
246,Methyl benzoate,C8H8O2,,93-58-3,60.0,72.3,105.8,123.1,149.3,172.4,198.9,229.7,278.6,323.1,-9.52872,5.22508,-5.67192,-4.5996
247,Ethyl benzoate,C9H10O2,,93-89-0,70.8,83.0,117.0,134.6,161.5,185.3,212.8,244.5,294.5,339.0,-9.49777,3.93518,-3.00984,-10.93022
248,Methyl salicylate,C8H8O3,,"119-36-8,90045-28-6,8024-54-2,135952-76-0,302912-49-8,1335435-40-9,9041-28-5",78.0,89.2,121.0,138.2,165.4,190.4,220.0,254.6,307.4,350.7,-14.30891,11.86128,-2.67256,-30.8563
249,Methyl amine,CH5N,,"74-89-5,3767-37-1",-83.8,-76.8,-57.7,-48.1,-33.5,-21.0,-6.7,9.7,35.4,58.9,-6.93594,0.77016,-2.12846,-3.11687
250,Ethyl amine,C2H7N,,75-04-7,-69.1,-61.3,-40.4,-29.7,-13.6,0.5,16.5,34.9,64.1,90.9,-7.14146,1.24486,-2.55143,-3.09059
251,Propyl amine,C3H9N,,"107-10-8,58479-39-3",-48.5,-39.7,-16.1,-4.2,13.8,29.5,47.2,67.6,99.9,129.7,-6.32807,-0.41527,-1.86755,-1.82733
252,n-butyl amine,C6H15N,,109-73-9,-27.3,-17.9,7.6,20.7,40.3,57.5,77.1,99.8,135.9,169.2,-7.88889,2.6777,-4.27421,-1.85122
253,Dimethyl amine,C2H7N,,"124-40-3,917-72-6,20786-94-1",-74.4,-67.1,-47.3,-37.2,-22.0,-8.7,6.6,24.4,52.9,79.4,-8.48833,4.67224,-6.24955,-1.96675
254,Trimethyl amine,C3H9N,,75-50-3,-84.8,-77.3,-56.4,-45.5,-28.9,-14.2,2.8,22.6,54.4,83.7,-7.30365,1.94801,-1.34682,-5.07582
255,Diethyl amine,C6H15N,,109-89-7,-46.1,-36.9,-12.0,0.7,19.7,36.3,55.2,77.1,111.9,144.1,-7.362,1.77888,-3.69788,0.28823
256,Triethyl amine,C6H15N,,121-44-8,-24.6,-14.5,13.0,27.1,48.4,67.0,88.4,113.1,152.6,189.2,-7.73549,2.3399,-3.77932,-0.63259
257,Piperidine,C5H11N,,"110-89-4,89014-30-2,52167-54-1",,-0.7,28.1,42.7,64.8,84.0,105.9,131.2,171.2,208.3,-6.79875,1.00957,-2.60941,-0.67208
258,Pyridine,C6H7N,,"110-86-1,25013-01-8,29761-81-7",-2.9,7.6,36.3,51.0,73.2,92.6,114.8,140.4,181.1,218.6,-7.07868,1.45189,-2.11714,-3.20359
259,Aniline,C6H7N,,"62-53-3,136260-71-4",51.2,63.3,96.0,112.6,137.4,159.0,183.4,211.5,255.6,295.9,-7.86006,1.96206,-3.65571,-2.00622
260,N-methyl aniline,C7H9N,,100-61-8,57.4,69.9,104.0,121.2,147.2,169.7,195.1,224.0,269.0,309.0,-8.99983,2.75304,-2.46251,-3.7898
261,"N,N-dimethyl aniline",C8H11N,,"121-69-7,86362-18-7,101357-19-1",52.0,65.0,100.0,117.7,144.2,167.1,192.9,222.4,268.6,310.8,-6.91926,-0.79562,-1.01346,-1.30692
262,"N,N-diethyl aniline",C10H15N,,91-66-7,73.6,86.6,121.6,139.3,166.0,189.1,215.5,246.0,294.7,340.1,-7.13341,0.21353,-3.88149,-0.98901
263,Phenylhydrazine,C6H8N2,,100-63-0,93.8,107.0,143.4,162.1,190.4,215.2,243.4,275.7,325.9,370.0,-10.65944,5.59074,-3.56952,-8.23026
264,Diphenyl amine,C12H11N,,"122-39-4,25656-57-9",134.0,149.3,190.7,211.7,243.3,270.7,301.8,337.3,392.8,442.8,-8.75985,2.00629,-3.2395,-3.3251
265,Acetonitrile,C2H3N,,"75-05-8,148642-19-7,66016-35-1",-31.0,-20.6,7.3,21.4,42.3,60.5,81.0,104.6,141.9,175.9,-9.22263,5.68045,-6.67111,4.51306
266,Propionitrile,C3H5N,,107-12-0,-17.9,-7.7,20.4,34.7,56.5,75.5,97.3,122.3,161.8,197.6,-7.82826,1.87534,-1.74704,-3.40003
267,Butyronitrile,C4H7N,,109-74-0,-2.0,8.6,37.6,52.4,74.8,94.4,117.0,143.0,184.4,222.0,-9.07674,4.63491,-4.96526,-1.94727
268,Benzonitrile,C7H5N,,100-47-0,51.3,63.4,96.8,114.1,140.4,163.6,190.3,221.2,270.1,314.2,-8.76503,3.46762,-2.58071,-7.03902
269,Formamide,CH3NO,,"75-12-7,60100-09-6,28704-51-0",82.2,94.8,129.0,146.2,171.9,194.0,219.1,247.6,292.1,332.3,-8.05102,1.89555,-3.34638,-3.18188
270,Nitromethane,CH3NO2,,"75-52-5,23717-53-5",-11.8,-1.7,26.0,40.1,61.3,79.8,100.8,124.9,162.6,196.7,-8.40409,2.9631,-2.55125,-3.12626
271,Nitrobenzene,C6H5NO2,,98-95-3,65.8,78.5,113.5,131.4,158.7,182.6,210.2,242.1,292.6,337.8,-11.4218,9.08136,-8.03968,-2.40144
272,o-Nitrotoluene,C7H7NO2,,"88-72-2,1321-12-6",75.0,88.0,123.6,141.8,169.4,193.5,220.9,252.4,301.5,345.5,-9.20649,3.2536,-2.90528,-5.87732
273,m-Nitrotoluene,C7H7NO2,,"99-08-1,36-37-3",81.8,95.3,132.1,150.9,179.3,204.0,232.1,264.4,314.8,359.8,-9.97904,5.05231,-4.85807,-3.04363
274,p-Nitrotoluene,C7H7NO2,,99-99-0,85.1,98.9,136.2,155.3,184.1,209.3,238.1,271.5,324.6,373.0,-9.1484,4.60236,-6.10485,-0.71761
