sep=|
Section B Basic Constants II. 
No.|Formula|Name|CAS #|"DelHf0, kJ/mol"|"DelGf0, kJ /mol"|"DelHb, : kJ /mol"|"DelHm, kJ /mol"|"V liq, cm3/mol"|"T liq, K"|"Dipole, Debye"|
1|Ar|argon|7440-37-1|0.00|0.00|6.43||29.10|90.00|0.0
2|Br2|bromine|7726-95-6|30.91|3.13|58.80||51.51|298.15|0.0
3|BrD|deuterium bromide|13536-59-9|-37.12|-53.79|||||
4|BrF3|bromine trifluoride|7787-71-5|-255.64|-229.51|47.57||48.84|298.15|1.1
5|BrF5|bromine pentafluoride|7789-30-2|-428.86|-351.65|30.60||71.02|298.15|1.5
6|BrH|hydrogen bromide|10035-10-6|-36.26|-53.30|||35.85|193.15|0.8
7|CBrClF2|bromochlorodifluoromethane|353-59-3|-435.20|-411.80|||91.67|298.15|
8|CBrF3|bromotrifluoromethane|75-63-8|-649.80|-622.90|||74.42|213.15|0.7
9|CBr2F2|dibromodifluoromethane|75-61-6|-386.60|-375.70|||93.04|298.15|0.7
10|CClF3|chlorotrifluoromethane|75-72-9|-704.20|-663.60|15.73||68.87|193.15|0.5
11|CCl2F2|dichlorodifluoromethane (R-12)|75-71-8|-490.80|-451.70|20.08||82.91|243.15|0.5
12|CCl3F|trichlorofluoromethane (R-11)|75-69-4|-283.70|-244.40|25.06|6.89|93.82|298.15|0.5
13|CCI4|tetrachloromethane|56-23-5|-95.81|-53.53|29.82|3.28|97.07|298.15|0.0
14|CF4|tetrafluoromethane|75-73-0|-933.50|-888.80|||56.41|153.15|0.0
15|CHBrF2|bromodifluoromethane|1511-62-2|-429.50|-412.90|||64.81|253.15|1.5
16|CHClF2|chlorodifluoromethane (R-22)|75-45-6|-482.80|-451.70|20.22|4.12|59.08|213.15|1.4
17|CHCl2F|dichlorofluoromethane|75-43-4|-284.90|-254.40|25.13||75.96|298.15|1.3
18|CHCl3|trichloromethane|67-66-3|-102.93|-70.09|29.24|8.80|80.68|298.15|1.1
19|chf3|trifluoromethane (R-23)|75-46-7|-693.30|-658.80|||51.66|213.15|1.6
20|CH2Cl2|dichloromethane|75-09-2|-95.40|-68.84|28.06|4.60|64.53|298.15|1.8
21|CH2F2|difluoromethane|75-10-5|-452.30|-424.70|||42.91|223.15|2.0
22|ch2o2|methanoic acid (formic acid)|64-18-6|-378.60|-35.06|22.69|12.72|||1.5
23|CH3Cl|chloromethane|74-87-3|-81.96|-58.42|21.58|6.43|50.59|253.15|1.9
24|ch3f|fluoromethane|593-53-3|-237.70|-213.70|||40.60|213.15|1.8
25|ch3no2|nitromethane|75-52-5|-74.70|-6.90|33.99||53.96|298.15|3.1
26|CH4|methane|74-82-8|-74.52|-50.45|8.17|0.94|35.54|90.68|0.0
27|ch4o|methanol|67-56-1|-200.94|-162.24|35.21|3.18|40.73|298.15|1.7
28|ch4s|methanethiol (methyl mercaptan)|74-93-1|-22.59|-9.52||5.91|55.52|293.15|1.3
29|ch5n|methanamine (methyl amine)|74-89-5|-22.53|32.73|25.60|6.13|47.34|298.15|1.3
30|CO|carbon monoxide|630-08-0|-110.53|-137.16|6.04|0.84|34.88|81.00|0.1
31|CO2|carbon dioxide|124-38-9|-393.51|-394.38||9.02|||0.0
32|C2Br2ClF3|1,2-dibromo-2-chloro-1,1,2-trifluroethane|354-51-8|||31.17||123.67|298.15|
33|C2CIF5|1-chloro-1,1,2,2,2-pentafluoroethane|76-15-3|-1123.00|- 1042.00|19.22|1.88|98.79|233.15|0.3
34|C2Cl2F4|1,1-dichloro-1,2,2,2-tetrafluoroethane|374-07-2|-926.80|-845.40|23.08||116.41|298.15|
35|C2Cl2F4|1,2-dichloro-1,1,2,2-tetrafluoroethane|76-14-2|-900.40|-818.10|22.94|1.51|117.37|298.15|0.5
36|C2CI3F3|1,1,2-trichloro-1,2,2-trifluoroethane|76-13-1|-705.80|-627.30|28.08|2.47|119.78|293.15|
37|C2F4|tetrafluoroethene|116-14-3|-659.00|-624.10|||65.84|197.00|0.0
38|C2F6|hexafluoroethane|76-16-4|-1343.00|-1257.00|16.15||||0.0
39|C2HBrClF3|1-bromo-1-chloro-2,2,2-trifluoroethane|151-67-7|||28.08||106.35|298.15|
40|C2HBrClF3|1-bromo-2-chloro-1,1,2-trifluoroethane|354-06-3|||28.31||106.29|298.15|
41|C2HClF4|1-chloro-1,1,2,2-tetrafluoroethane|354-25-6|-903.30|-830.90|22.30||105.06|273.15|
42|C2HClF4|1-chloro-1,2,2,2-tetrafluoroethane|2837-89-0|-924.70|-851.80|22.53||99.88|295.00|
43|C2HCl2F3|1,1-dichloro-2,2,2-trifluoroethane (R-123)|306-83-2|-743.90|-668.90|25.72||103.90|295.00|
44|C2HCl2F3|1,2-dichloro-1,2,2-trifluoroethane|354-23-4|||||103.72|295|
45|C2HF5|pentafluoroethane|354-33-6|-1105.00|- 1030.00|||98.61|293.48|1.5
46|C2HF5O|pentafluorodimethyl ether (E-125)|3822-68-2|||||105.66|295.00|
47|C2H2|ethyne (acetylene)|74-86-2|190.92|201.30||21.28|43.47|203.15|0.0
